Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Niger,NER,2010,57.333,476.869532167304,7.708934877251691,0.8709080420679819,31,MF,15,19,59.29,28.47,22.94,12.04,3.97,0.2,0.04,2.9,2.28,0.61,0.0,1735,Sub-Saharan Africa
Nicaragua,NIC,2005,71.195,1162.28968513428,9.296049504634857,,61,MF,15,19,11.21,36.63,10.34,47.91,18.23,4.25,4.05,6.72,4.54,2.01,0.17,639,Latin America and the Caribbean
Nicaragua,NIC,2010,72.428,1503.87223074992,8.10504446126371,0.8718805184097469,61,MF,15,19,6.86,35.4,10.17,53.09,21.04,4.65,4.43,7.26,4.83,2.25,0.18,677,Latin America and the Caribbean
Netherlands,NLD,2005,79.3463414634146,41994.7135305232,1.2887370342477589,,121,MF,15,19,2.6,21.68,21.48,75.02,17.48,0.7,0.11,8.67,5.84,2.82,0.02,978,Advanced Economies
Netherlands,NLD,2010,80.7024390243902,50999.7451168879,0.9953226141360992,0.7723240565652505,121,MF,15,19,0.0,19.34,18.93,79.96,20.34,0.7,0.11,9.06,5.99,3.05,0.02,1021,Advanced Economies
Norway,NOR,2005,80.0414634146342,66810.478520868,0.7757184356480227,,122,MF,15,19,0.31,2.43,2.43,97.25,10.89,0.01,0.0,9.23,5.98,3.24,0.0,292,Advanced Economies
Norway,NOR,2010,80.9975609756098,87693.7900658099,0.7221531232070365,0.930947480452442,122,MF,15,19,3.05,0.03,0.03,96.92,11.98,0.0,0.0,10.05,6.79,3.27,0.0,319,Advanced Economies
Nepal,NPL,2005,65.264,315.805629997361,1.888101156339809,,95,MF,15,19,11.04,53.33,36.6,34.93,10.33,0.71,0.14,5.09,4.03,1.04,0.02,2921,South Asia
Nepal,NPL,2010,67.611,592.401207101201,1.8497875240180504,0.9797078497658296,95,MF,15,19,5.29,53.17,40.44,40.15,12.15,1.39,0.27,6.24,4.42,1.79,0.03,3345,South Asia
New Zealand,NZL,2005,79.8512195121951,27751.0654708859,1.7056088752473373,,133,MF,15,19,0.66,4.49,4.15,87.26,43.23,7.6,2.04,11.46,5.95,5.32,0.19,311,Advanced Economies
New Zealand,NZL,2010,80.7024390243902,33676.7741239925,1.4189155759075578,0.8319114637004894,133,MF,15,19,5.92,0.07,0.06,91.27,37.23,2.74,0.74,10.67,5.64,4.96,0.07,302,Advanced Economies
