Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Guatemala,GTM,2005,69.762,2068.50012859333,54.87607343361702,,56,MF,15,19,15.58,65.8,30.06,18.62,3.36,0.0,0.0,4.65,3.99,0.66,0.0,1375,Latin America and the Caribbean
Guatemala,GTM,2010,71.481,2852.54732650116,48.08024864505062,0.8761605128911557,56,MF,15,19,2.81,68.03,33.68,29.16,6.63,0.0,0.0,5.81,4.8,1.01,0.0,1582,Latin America and the Caribbean
Guyana,GUY,2005,66.694,1105.50682477118,24.45462750137455,,73,MF,15,19,8.3,19.99,11.56,71.57,22.7,0.13,0.03,9.29,5.25,4.04,0.0,68,Latin America and the Caribbean
Guyana,GUY,2010,68.059,4580.69876204788,21.807728437476182,0.8917628549545648,73,MF,15,19,0.81,21.16,12.24,77.76,25.66,0.27,0.05,8.55,5.68,2.86,0.01,66,Latin America and the Caribbean
Honduras,HND,2005,72.026,1308.09196975644,39.37858359106576,,58,MF,15,19,3.23,48.09,33.15,47.12,10.5,1.56,0.3,7.1,5.36,1.7,0.04,803,Latin America and the Caribbean
Honduras,HND,2010,73.317,1904.34715184132,44.14035718603478,1.1209229271529555,58,MF,15,19,3.37,38.44,26.51,58.19,8.85,0.0,0.0,7.36,5.44,1.92,0.0,890,Latin America and the Caribbean
Croatia,HRV,2005,75.2446341463415,10621.507456753,1.5771756348215535,,322,MF,15,19,4.75,22.07,21.18,67.39,15.04,5.8,1.13,9.6,7.58,1.88,0.14,283,Europe and Central Asia
Croatia,HRV,2010,76.4756097560976,14067.5231191915,1.339096166663258,0.8490469527287412,322,MF,15,19,0.34,2.28,2.2,88.06,20.05,9.33,1.81,9.28,3.98,5.07,0.22,263,Europe and Central Asia
Haiti,HTI,2005,58.652,781.276657785884,28.26042624426782,,57,MF,15,19,9.06,62.23,5.79,28.54,17.35,0.17,0.07,5.33,3.76,1.56,0.0,1074,Latin America and the Caribbean
Haiti,HTI,2010,60.511,1191.97266373335,27.872726391600622,0.9862811746250348,57,MF,15,19,0.07,79.79,7.16,20.0,12.69,0.14,0.06,4.94,3.82,1.12,0.0,974,Latin America and the Caribbean
Hungary,HUN,2005,72.6487804878049,11225.9325815328,2.1226009886708024,,115,MF,15,19,0.09,9.54,8.98,85.83,18.17,4.55,0.0,10.32,7.97,2.26,0.09,628,Europe and Central Asia
Hungary,HUN,2010,74.2073170731707,13223.0830027699,1.750315995688601,0.8246090551313034,115,MF,15,19,0.6,4.47,4.3,94.91,13.05,0.02,0.0,8.29,3.97,4.32,0.0,607,Europe and Central Asia
Indonesia,IDN,2005,67.334,1263.28733171098,1.2391773339872425,,86,MF,15,19,4.97,62.71,54.0,32.11,5.89,0.21,0.04,6.6,5.44,1.15,0.0,21058,East Asia and the Pacific
Indonesia,IDN,2010,69.205,3122.36267319362,1.0213140595740946,0.8241871696344384,86,MF,15,19,0.9,33.24,28.03,65.77,15.59,0.1,0.02,8.24,5.79,2.45,0.0,20666,East Asia and the Pacific
India,IND,2005,64.5,714.8610153644,3.909627787641876,,85,MF,15,19,6.53,28.61,28.61,63.87,24.11,1.0,0.19,7.65,4.67,2.95,0.02,110072,South Asia
India,IND,2010,66.693,1357.5637268318,3.460203099599129,0.8850466815630494,85,MF,15,19,8.13,18.16,18.16,72.11,27.87,1.6,0.31,8.02,4.59,3.39,0.04,115383,South Asia
Ireland,IRL,2005,78.9439024390244,50933.0216095589,0.7062663322944162,,117,MF,15,19,0.34,13.49,12.48,83.06,31.79,3.11,2.15,9.34,5.95,3.28,0.11,291,Advanced Economies
Ireland,IRL,2010,80.7439024390244,48655.3661626634,1.0669417959844931,1.510679112394281,117,MF,15,19,0.14,24.62,22.91,75.24,20.66,0.0,0.0,10.59,7.92,2.67,0.0,268,Advanced Economies
Iraq,IRQ,2005,68.266,1855.52234835917,9.252142667826933,,88,MF,15,19,26.55,20.29,15.76,46.76,14.83,6.4,1.24,6.66,4.27,2.23,0.15,3155,Middle East and North Africa
Iraq,IRQ,2010,68.567,4657.28026921588,12.869136848250845,1.3909358415971598,88,MF,15,19,12.36,19.08,15.37,60.01,19.8,8.55,1.66,8.26,5.15,2.91,0.2,3517,Middle East and North Africa
Iceland,ISL,2005,81.5024390243902,56794.8501588953,0.8353353266361493,,116,MF,15,19,2.41,8.59,7.94,89.0,29.03,0.02,0.0,9.67,5.84,3.83,0.0,22,Advanced Economies
Iceland,ISL,2010,81.8975609756097,43237.0729488958,0.7871242791597387,0.942285396128817,116,MF,15,19,1.0,9.0,8.38,90.0,29.79,0.02,0.0,10.8,6.91,3.89,0.0,23,Advanced Economies
